"slug","clics","impresiones","ctr","posicion"
"santiago/motel-kaoma-santiago","0","13","0%","723"
"osorno/motel-cuore-osorno","0","12","0%","6592"
"santiago/motel-oasis-santiago","0","12","0%","185"
"providencia/motel-vertigo-providencia","0","12","0%","2275"
"talca/motel-luna-y-estrellas-talca","0","12","0%","4175"
"la-reina/motel-hosteria-continental-la-reina","0","12","0%","5058"
"chillan-viejo/motel-danicalqui","0","12","0%","5917"
"santiago/motel-el-marquez-santiago","0","12","0%","1075"
"padre-las-casas/motel-del-sol-pere-las-casas","0","12","0%","1875"
"osorno/motel-luna-de-pilauco-osorno","1","12","8.33%","3642"
"providencia/motel-jardin-providencia","0","11","0%","4773"
"graneros/motel-cabanas-de-turismo-la-compania-graneros","1","11","9.09%","1855"
"curico/motel-blu-suites","0","11","0%","25"
"providencia/motel-10-de-julio-providencia","0","11","0%","982"
"penaflor/motel-amapola-penaflor","0","11","0%","4755"
"arica/motel-cabanas-yotahu-arica","0","11","0%","2073"
"la-pintana/motel-las-higueras","0","11","0%","2818"
"santiago/motel-blue-santiago","0","11","0%","3909"
"valparaiso/motel-los-robles-valparaiso","0","11","0%","5818"
"la-reina/motel-triangulo-3-la-reina","0","11","0%","4836"
"san-bernardo/motel-la-boheme-san-bernardo","0","10","0%","518"
"santiago/motel-mediterraneo-classic-santiago","0","10","0%","10"
"arica/motel-status-arica","0","10","0%","392"
"recoleta/motel-mirage-recoleta","0","10","0%","333"
"padre-las-casas/motel-afrodita-padre-las-casas","1","10","10%","217"
"punta-arenas/motel-teja-punta-arenas-moteles-chile","0","10","0%","234"
"coronel/motel-arcoiris","0","10","0%","243"
"quinta-normal/motel-la-casa-blanca-herrera-quinta-normal","0","10","0%","478"
"santiago/motel-catedral-santiago","0","9","0%","30"
"vina-del-mar/hostal-o-pension-motel-el-sol-vina-del-mar","0","9","0%","19"
"padre-las-casas/motel-mirage-padre-las-casas","0","9","0%","5422"
"santiago/motel-echaurren-santiago","0","9","0%","3278"
"santiago/motel-mosqueto-santiago","0","9","0%","2033"
"quinta-normal/motel-la-casa-blanca-carrascal-quinta-normal","0","9","0%","1533"
"san-miguel/motel-buzios-san-miguel","0","9","0%","3711"
"quinta-normal/motel-tu-jardin-secreto-quinta-normal","0","9","0%","6233"
"providencia/motel-le-chateau-providencia","0","9","0%","4056"
"linares/motel-valle-luna-linares","0","9","0%","2544"
"temuco/motel-inn-temuco","0","8","0%","36"
"valparaiso/motel-y-hotel-alhambra-valparaiso","0","8","0%","4425"
"providencia/motel-amor-amor-providencia","0","8","0%","6788"
"valparaiso/motel-bleu-nuit-valparaiso","0","8","0%","2188"
"san-miguel/motel-montavord-san-miguel","0","8","0%","545"
"santiago/motel-love-downtown-santiago","0","8","0%","5838"
"linares/motel-terranova-linares","0","8","0%","7238"
"santiago/motel-juntos-santiago","0","8","0%","3538"
"santiago/motel-tropical-park-santiago","0","7","0%","5129"
"maipu/motel-sexcity-santiago","1","7","14.29%","914"
"santiago/motel-la-cle-santiago","0","7","0%","25"
"chillan-viejo/motel-venecia-chillan-viejo-moteles-chile","0","7","0%","3886"
"punta-arenas/motel-entre-nos-punta-arenas","0","7","0%","2514"
"santiago/motel-luis-xvi-santiago","0","7","0%","1043"
"santiago/motel-maravilla-santiago","0","7","0%","2514"
"providencia/motel-cielo-azul-providencia","0","7","0%","6814"
"la-cisterna/motel-continental-la-cisterna","0","7","0%","46"
"independencia/motel-inglaterra-independencia","0","7","0%","3186"
"quilpue/motel-los-jardines-quilpue","0","7","0%","4514"
"santiago/motel-principe-i-santiago","0","7","0%","5757"
"santiago/motel-10-de-julio-santiago","2","6","33.33%","12"
"longavi/motel-la-vie-en-rose-longavi","0","6","0%","3483"
"santiago/motel-sky-santiago","0","6","0%","5433"
"padre-hurtado/motel-amapola-padre-hurtado","0","6","0%","33"
"los-angeles/motel-cabana-suiza-los-angeles","0","6","0%","4533"
"santiago/motel-brasil-56-santiago","0","6","0%","435"
"chimbarongo/motel-los-alamos-chimbarongo","0","6","0%","4033"
"valparaiso/motel-boston-valparaiso","0","5","0%","286"
"quilpue/motel-kinabowa-quilpue","0","5","0%","368"
"concepcion/motel-gold-diseno","0","5","0%","338"
"quinta-normal/motel-fiesta-inn-quinta-normal","0","5","0%","626"
"punta-arenas/motel-la-luna-punta-arenas","0","5","0%","23"
"temuco/motel-del-centro-temuco-temuco","0","5","0%","60"
"san-carlos/motel-mediterraneo-san-carlos","0","5","0%","434"
"santiago/motel-las-estrellas-santiago","0","5","0%","74"
"santiago/motel-moon-santiago","0","4","0%","3925"
"santiago/motel-stgo-city-santiago","0","4","0%","24"
"calera-de-tango/motel-la-boheme-calera-de-tango","0","4","0%","2725"
"santiago/motel-molina-santiago","0","4","0%","2025"
"puerto-montt/cabanas-bosque-verde-puerto-montt","0","4","0%","8625"
"temuco/motel-mirage-temuco","0","4","0%","49"
"iquique/motel-cupido-iquique-motels-chili","0","3","0%","33"
"iquique/motel-extasis-iquique","0","3","0%","7467"
"santiago/motel-maury-santiago","0","3","0%","733"
"santiago/motel-tarapaca-1037-santiago","0","3","0%","1733"
"osorno/motel-cabanas-los-yaganes-osorno","0","3","0%","51"
"los-vilos/motel-cabanas-el-marino-los-vilos","0","3","0%","4567"
"santiago/motel-pedro-montt-santiago","1","3","33.33%","3567"
"santiago/motel-forever-santiago","0","3","0%","1267"
"santiago/motel-colmena-santiago","0","3","0%","833"
"santiago/motel-callahan-santiago","0","3","0%","933"
"temuco/motel-real-norte-temuco","0","3","0%","9033"
"vina-del-mar/lux-suites","0","2","0%","11"
"linares/motel-eclipse-de-luna-linares","0","2","0%","545"
"san-miguel/motel-camping-san-miguel","0","2","0%","485"
"recoleta/motel-ocho-art","0","2","0%","225"
"los-angeles/motel-el-amanecer-los-angeles","0","2","0%","495"
"santiago/motel-turispas-maya-santiago","0","2","0%","9"
"putaendo/motel-tahai-putaendo","0","2","0%","32"
"coyhaique/motel-coyhaique-coyhaique","0","2","0%","395"
"linares/motel-de-luxe-linares-linares","0","1","0%","12"
"san-bernardo/motel-toi-et-moi-san-bernardo","0","1","0%","6"
"rengo/motel-valle-verde-rengo","0","1","0%","6"
"los-andes/motel-zava-los-andes","0","1","0%","9"
"mostazal/motel-entre-cerros-mostazal","0","1","0%","26"
"santiago/motel-epsilon-santiago","0","1","0%","11"
"santiago/motel-pedregal-azul-santiago","0","1","0%","10"
"santiago/motel-toesca-santiago","0","1","0%","89"
"santiago/motel-decameron-suite-santiago","0","1","0%","12"
"osorno/motel-cupido-osorno","0","1","0%","7"
"santiago/motel-carmen-santiago","0","1","0%","11"
"temuco/motel-t-temuco","0","1","0%","11"
"santiago/motel-orquidea-santiago","0","1","0%","14"
